loc_rowid,pl_name,hostname,default_flag,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_radj,pl_massj,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_lum,sy_dist
5877,KOI-94 b,KOI-94,1,Transit,2013,3.74320800,0.051190,0.153,0.03300,1486,,6182.00,1.52,1.28,0.479,477.0520000
5885,KOI-94 c,KOI-94,1,Transit,2013,10.42364800,0.101300,0.385,0.04900,1012,,6182.00,1.52,1.28,0.479,477.0520000
5896,KOI-94 d,KOI-94,1,Transit,2013,22.34298900,0.168400,1.005,0.33400,806,,6182.00,1.52,1.28,0.479,477.0520000
5914,KOI-94 e,KOI-94,1,Transit,2013,54.32031000,0.304600,0.585,0.11000,584,,6182.00,1.52,1.28,0.479,477.0520000
5923,KOI-984 b,KOI-984,1,Transit,2022,4.28817850,0.050400,0.384,,1022,,5295.00,0.82,0.93,,252.6670000
5931,KOI-984 c,KOI-984,1,Transit Timing Variations,2022,21.51200000,0.146700,,0.66010,597,,5295.00,0.82,0.93,,252.6670000
5934,KPS-1 b,KPS-1,1,Transit,2018,1.70629100,0.026900,1.030,1.09000,1459,K1 V,5165.00,0.91,0.89,,262.7060000
5937,Kapteyn c,Kapteyn,1,Radial Velocity,2014,121.54000000,0.311000,,,,,3550.00,0.29,0.28,,3.9330500
5942,Kepler-10 b,Kepler-10,1,Transit,2011,0.83749070,0.016850,0.131,0.01026,2188,,5708.00,1.06,0.91,,185.5060000
5962,Kepler-10 c,Kepler-10,1,Transit,2011,45.29430100,0.241000,0.210,0.03587,578,,5708.00,1.06,0.91,,185.5060000
